s_ID,song_name,country,artist,p_year,final_place,performance_vid
S156,Grande Amore,Italy,Il Volo,2015,3,https://youtube.com/watch?v=1TOMqZV2jA8
S157,Gravity,Ukraine,Zlata Ognevich,2013,3,https://youtube.com/watch?v=BMxpv8naRd8
S158,Gravity,Cyprus,Hovig,2017,21,https://youtube.com/watch?v=ZDe9FCLgE04
S159,Grow,Netherlands,Jeangu Macrooy,2020,,https://youtube.com/watch?v=sMcxWB90TTY
S160,Growing Up Is Getting Old,Bulgaria,Victoria,2021,11,https://youtube.com/watch?v=B1ZiPrMwMYA
S161,Guilty Pleasure,Croatia,Mia Dimaiat,2022,26,https://youtube.com/watch?v=9vBQdtW3mJE
S162,Ha Dias Assim,Portugal,Filipa Azevedo,2010,18,https://youtube.com/watch?v=_mTaVdnTMwo
S163,Ha um mar que nos Separa,Portugal,Leonor Andrade,2015,36,https://youtube.com/watch?v=vE-LqXkb0ok
S164,Haba Haba,Norway,Stella Mwangi,2011,38,https://youtube.com/watch?v=cRhJzdDFFHA
S165,Halo,Austria,LUM!X & Pia Maria,2022,36,https://youtube.com/watch?v=dMgjHYwXSuo
S166,Hasta la vista,Serbia,Hurricane,2020,,https://youtube.com/watch?v=7fqZevYLUMs
S167,Hear Them Calling,Iceland,Greta Sala³me,2016,34,https://youtube.com/watch?v=6osxLLPLUDk
S168,Heart of Steel,Ukraine,Tvorchi,2023,6,https://youtube.com/watch?v=neIscK1hNxs
S169,Heartbeat,Republic of Ireland,Can-Linn feat. Kasey Smith,2014,29,https://youtube.com/watch?v=J9zEybTMeEs
S170,Heartbeat,Latvia,Justs,2016,15,https://youtube.com/watch?v=o-2Lt7zzlBU
S171,Heaven,Montenegro,D mol,2019,38,https://youtube.com/watch?v=oV200JAouTc
S172,Help You Fly,Belarus,Ivan,2016,29,https://youtube.com/watch?v=pM07r57QqGg
S173,Here for You,Slovenia,Maraaya,2015,14,https://youtube.com/watch?v=lTuHbVKYgY0
S174,Here I Stand,North Macedonia,Vasil,2021,35,https://youtube.com/watch?v=WRcSHPb_Qwc
S175,Here We Go,Latvia,PeR,2013,37,https://youtube.com/watch?v=xze_ilAXwWE
S176,Heroes,Sweden,Mayns Zelmerla¶w,2015,1,https://youtube.com/watch?v=5sGOwFVUU0I
S177,Higher Ground,Denmark,Rasmussen,2018,9,https://youtube.com/watch?v=c0kP074Mw0k
S178,Hold Me,Azerbaijan,Farid Mammadov,2013,2,https://youtube.com/watch?v=iN3d_V7KVLE
S179,Hold Me Closer,Sweden,Cornelia Jakobs,2022,4,
S180,Home,Israel,Kobi Marimi,2019,23,https://youtube.com/watch?v=uCdS42uCqP0
S181,Hope,Estonia,Stefan,2022,13,https://youtube.com/watch?v=GdTpQmMem8U
S182,Hope Never Dies,Czech Republic,Marta Jandova & Vaclav Noid Barta,2015,34,https://youtube.com/watch?v=SLz6VeSPXjA
